id,titulo,autor,precio,idEditorial
62,Bitwolf,Roanne Casazza,903.60,2
63,Konklux,Clemens Edison,430.10,3
64,Alphazap,Cele Pinney,958.78,5
65,Overhold,Cly Adriani,662.70,4
66,Alpha,Doretta Knotte,41.31,2
67,Zoolab,Caye McKerley,261.47,2
68,It,Helenka Counter,28.65,1
69,Temp,Rhys Maxwale,740.36,4
70,Opela,Chicky Rodolf,658.28,6
71,Veribet,Winston Nutkins,872.81,6
72,Cookley,Conrad Eversfield,165.67,5
73,Flowdesk,Peg Kiln,263.13,1
74,Vagram,Armando Ligertwood,822.20,4
75,Bamity,Monty Grigoire,993.73,4
76,Redhold,Andria Colcutt,50.31,3
77,Lotlux,Bibbye Broodes,768.77,3
78,Trippledex,Diena Bastiman,584.06,2
79,Lotlux,Nowell Wheway,283.08,5
80,Regrant,Sidney Maple,182.89,5
81,Regrant,Merlina Baytrop,240.95,1
82,Sonsing,Elvyn Skin,157.26,3
83,Greenlam,Birch Milham,872.42,6
84,Namfix,Cassondra Chyuerton,188.50,5
85,Bigtax,Selina Sheaber,354.54,6
86,Bitchip,Silvan Murfin,416.66,2
87,Holdlamis,Arlina Jepps,589.46,6
88,It,Tedda Trevear,800.51,2
89,Tin,Saundra McCullough,675.63,5
90,Alpha,Kordula Vanelli,653.21,4
91,Stronghold,Keri Moore,403.71,6
92,Zathin,Dannie McLoughlin,999.30,6
93,Stronghold,Britteny Blamire,849.90,3
94,Viva,Jaquelin Britcher,260.14,1
95,Regrant,Melodie McCalister,745.46,2
96,Latlux,Anneliese Gandley,774.14,1
97,Transcof,Neely Shottin,395.38,5
98,Alpha,Nikoletta Thirwell,754.77,3
99,Opela,Robers Bescoby,612.97,4
100,Tresom,Anson Bickerdyke,246.31,2
101,Lotstring,Conway Brandle,394.48,1
102,Holdlamis,Myca Mapletoft,279.28,4
103,Bitchip,Zandra Geratt,252.56,1
104,Zontrax,Merrilee Fenge,392.92,3
105,Namfix,Hyacinthe Mossom,703.37,4
106,It,Kalvin Cabrera,936.67,2
108,Temp,Nancy Klimkovich,50.28,3
109,Bitchip,Alexandro Ardern,898.66,4
110,Toughjoyfax,Rudy Tollit,794.32,4
111,Bytecard,Ruddy Murkitt,246.91,6
112,Latlux,Jules Burdekin,330.13,1
113,Otcom,Donnajean Alvarez,182.61,6
114,Cookley,Theresita Korting,5.92,3
115,Zontrax,Mag Wonham,477.91,4
116,Zathin,Park MacIlurick,180.29,2
117,Kanlam,Cam Robilliard,539.60,1
118,Mat Lam Tam,Roberta Capp,588.43,4
119,Fintone,Trev Rulten,313.10,1
120,Konklab,Corenda Latta,440.27,4
121,Job,Heall Martyntsev,110.85,2
122,Kanlam,Jesselyn Novic,780.79,4
123,Matsoft,Linc Baddam,744.36,3
124,Fixflex,Gayleen Bloor,984.98,3
125,Hatity,Barclay Grimoldby,380.22,1
126,Viva,Marshall Degli Antoni,740.42,6
127,Kanlam,Vivianna Fink,112.25,5
128,Bigtax,Sheridan Maseyk,766.10,5
129,Treeflex,Nikolai Nickell,700.95,3
130,Fix San,Dana Dinnies,48.56,5
131,Zontrax,Tybi Burkwood,315.22,4
132,Prodder,Brendan Murley,472.03,5
133,Alpha,Mariel Hazelden,814.16,2
134,Quo Lux,Barbabas Hedau,789.86,1
135,Alphazap,Averill MacInherney,989.60,5
136,Tin,Olivette Borkett,309.44,6
137,Matsoft,Craig Sumner,330.69,2
138,Tresom,Hogan Pomfret,258.37,1
139,Sonair,Deerdre Ellacott,774.55,4
140,Quo Lux,Robinett Hove,739.89,4
141,Latlux,Lyman Schieferstein,994.74,3
142,Andalax,Ulla Dekeyser,663.05,2
143,Temp,Kellia Smeal,614.83,3
144,Aerified,Madelyn Styles,18.71,2
145,Keylex,Horatia Muddle,570.30,1
146,Bamity,Jessalyn Heister,92.02,4
147,Stringtough,Jessie Domek,143.35,4
148,Tempsoft,Gerhardt Edgington,493.98,1
149,Tampflex,Rainer Halle,770.19,3
150,Fintone,Den Langhorne,741.99,3
151,Bigtax,Dolorita Benthall,408.32,3
152,Tin,Florida Andrei,403.04,5
153,Stringtough,Allsun Croshaw,326.26,2
154,Toughjoyfax,Marlo Tyhurst,718.34,2
155,Rank,Danie Ruthven,654.26,2
156,Rank,Jaymee Davidzon,289.40,2
157,Wrapsafe,Alex Martschke,418.66,1
158,Span,Ariadne Eilers,446.09,4
159,Fix San,Kyrstin McManamen,489.75,3
160,Zontrax,Miner Dugall,41.32,2
161,Tin,Zelda Romayn,266.91,6
162,Keylex,Rees Barrowcliffe,629.12,4
163,Solarbreeze,Carly Piatkow,570.23,1
164,Cookley,Innis Renshell,173.48,2
165,Overhold,Solly Arpin,405.62,4
166,Tres-Zap,Giacinta Meeland,158.12,3
167,Fintone,Sarene Orhtmann,101.82,1
168,Ronstring,Kimmie Pestricke,273.81,6
169,Ronstring,Elisabet Traves,339.76,4
171,Stronghold,Rena Coyish,801.34,6
172,Voyatouch,Kathe Kirkbright,711.28,1
173,Rank,Freddie Hallgate,800.46,5
174,Zamit,Jillane Barker,763.60,3
175,Aerified,Celestyn Kordovani,466.16,1
176,Domainer,Mordy Hellin,487.60,5
177,Veribet,Christophe Fer,285.91,2
178,Stim,Minette Towsie,522.52,3
179,Vagram,Kirbee Adenet,515.61,2
180,Stronghold,Deidre Iron,852.82,6
181,Quo Lux,Raye Pennell,580.70,3
182,Alpha,Laetitia Aristide,280.38,6
183,Vagram,Janessa Hammand,762.80,1
184,Holdlamis,Ilyssa Abade,793.18,3
185,Alphazap,Tawsha Cyster,358.09,5
186,Transcof,Way Eates,76.00,5
187,Zaam-Dox,Ric Mansell,11.90,6
188,Flowdesk,Robbie Frankiewicz,344.24,1
189,Bamity,Marve Bolam,99.88,3
190,Span,Essy Romney,473.39,6
191,Otcom,Lynnelle Hazeldene,929.69,6
192,Overhold,Antonino Chivers,659.44,6
193,Zathin,Levi Radoux,131.58,2
194,Tempsoft,Ania Jagiela,822.84,6
195,Alpha,Quinn Dupoy,422.57,5
196,Cookley,Vivie Fallon,464.08,6
197,Subin,Niki Bale,77.16,6
198,Toughjoyfax,Stevana Chadwin,362.23,1
199,Sonsing,Arturo Hackly,464.38,3
200,Lotlux,Griffy Acom,582.05,1
201,Transcof,Dall Pinwell,338.02,3
202,Flexidy,Jammal Desson,906.95,5
203,Alphazap,Walt Bygott,252.06,2
204,Kanlam,Ivonne Toffel,164.16,2
205,Zaam-Dox,Don Shatliffe,400.30,1
206,Fix San,Dee dee Beedom,456.63,2
207,Zathin,Humfrid Duffet,841.21,2
208,Voltsillam,Margret Croan,100.52,6
209,Voyatouch,Kali Ahern,24.85,6
210,Daltfresh,Faulkner Breeds,139.48,3
211,Transcof,Fee Crosoer,483.90,5
212,It,Inez Starr,622.63,4
213,Latlux,Fair Durbin,746.78,1
214,Voltsillam,Aurthur Bartolomeotti,205.41,5
215,Toughjoyfax,Rosabella Woolford,109.73,1
216,Tempsoft,Mathilde Verrell,389.76,2
217,Quo Lux,Wake Cristofol,623.95,1
218,Fixflex,Lorry Boundy,588.07,5
219,Gembucket,Celinda Lax,765.10,6
220,Subin,Eadie Priddis,764.68,2
221,Temp,Mareah De Vaan,561.50,3
222,Konklab,Bartram Bridgewood,987.83,4
223,Kanlam,Ogden Briffett,235.85,5
224,Greenlam,Estrella Chevolleau,282.55,2
225,Zoolab,Westley Polack,904.43,3
226,Mat Lam Tam,Gawain Manders,691.57,6
227,Subin,Felice Jamison,420.00,1
228,Mat Lam Tam,Darci Kilpin,880.74,6
229,Trippledex,Auria Cowley,459.53,1
230,Ventosanzap,Alix Benfell,24.58,5
231,Flowdesk,Ryann Dugue,765.75,3
232,Keylex,Any Stallen,966.16,2
233,Zoolab,Hartley Scourfield,19.78,2
234,Quo Lux,Corabel Belbin,27.19,4
235,Tampflex,Adrienne Ghidoli,600.52,4
236,Home Ing,Annalise Raggitt,239.19,1
237,Biodex,Caesar Coling,618.48,2
238,Hatity,Querida Cordingly,240.25,1
239,Viva,Cass Elford,922.41,4
240,Alpha,Maurizia Bottelstone,899.59,4
241,Hatity,Flory Bernade,959.22,4
242,Aerified,Brady Coronas,331.91,3
243,Stringtough,Edgardo Tilio,665.75,5
244,Quo Lux,Elayne Skate,699.07,2
245,Duobam,Ceil Polly,105.71,6
246,Biodex,Yelena Breedy,707.81,4
247,Y-find,Elysee Scurrer,579.07,6
248,Trippledex,Lorie Fivey,183.55,3
249,Trippledex,Trueman Wagge,855.54,5
250,Matsoft,Korella Chestnutt,991.15,4
251,Greenlam,Matteo Gration,624.33,2
252,Cookley,Cally Herche,590.86,3
253,Y-find,Gabbie Jannasch,28.32,3
254,Cardguard,Stu Bromell,48.26,5
255,Treeflex,Ches Rustadge,293.01,2
256,Overhold,Rosella Faier,921.96,2
257,Bytecard,Felicle Hartland,108.32,3
259,Zontrax,Vernen Trobey,61.18,4
260,Prodder,Penny Wesker,294.34,6
261,Tin,Guthry Martinek,510.67,3
262,Cookley,Jecho Scarrott,712.85,4
263,Subin,Cory Durbin,744.29,3
264,Bitchip,Raeann Huggett,900.97,4
265,Greenlam,Catarina Brauner,645.30,1
266,Aerified,Curtice Jeanequin,841.93,6
267,Bamity,Ellwood Digle,165.97,3
268,Home Ing,Granville Damiata,286.50,6
269,Overhold,Umeko Issitt,930.24,5
270,Flexidy,Krista Dodd,77.10,6
271,Temp,Travus Stead,721.94,5
272,Opela,Brina Silvermann,716.28,5
273,Mat Lam Tam,Maxy Baden,476.67,5
274,Prodder,Cristina Buckel,411.73,3
275,Temp,Calhoun Menary,922.95,3
276,Sonair,Hakim Twomey,138.82,5
277,Tres-Zap,Davina Van Arsdall,5.17,6
278,Andalax,Angelika Carsberg,353.73,6
279,Treeflex,Tallie Ansteys,418.20,6
280,Bytecard,Roman Crambie,635.10,1
281,Prodder,Jared Beteriss,699.09,2
282,Greenlam,Rance Bilham,138.88,6
283,Matsoft,Millard Sharman,759.29,1
284,Y-find,Tessa Buckenham,417.56,5
285,Fix San,Jackelyn Levings,136.49,6
286,Bamity,Horten Pantecost,414.26,6
287,Bytecard,Kerry Cryer,462.69,1
288,Konklab,Julissa Raycroft,974.81,6
289,Zathin,Penni Coggon,72.01,2
290,Holdlamis,Nannie Roch,401.55,6
291,Treeflex,Simone Pocklington,773.99,2
292,Cookley,Kaila Isaacson,181.09,5
293,Trippledex,Martynne Ambler,275.05,1
294,It,Amalle Ceillier,199.34,5
295,Wrapsafe,Olly Kleinplac,78.20,3
296,Voyatouch,Linc Cicullo,495.82,6
297,Bamity,Jinny Newham,524.07,1
298,Rank,Cyrus Lardeur,641.10,1
299,Tempsoft,Lorinda Abbett,773.73,1
300,Treeflex,Weylin Grellier,573.95,2
